method,target_access_during_correction,iterative,direct_target_blending,internal_Dice_0.5,internal_soft_Dice,internal_AP,RHUH_Dice_0.5,RHUH_soft_Dice,RHUH_AP,interpretation,pairwise_inference
Fixed,No,No,No,0.2392659286346989,0.18515205004391988,0.22720634123309835,0.18950017890741763,0.1511701565526571,0.15306246406098237,Future-blind P0,NOT_PRELOCKED_NOT_RUN
Naive,No,No,No,0.2392659286346989,0.22439917992605235,0.226733722920818,0.18950017890741763,0.17900621819149748,0.15283373590961224,Target-free logit tightening,NOT_PRELOCKED_NOT_RUN
EIA-linear,Yes,No,No,0.295791335956591,0.26024848979827647,0.36114876312315314,0.24605934004827212,0.27610741738567324,0.35405373663637224,One-step matched-information correction,NOT_PRELOCKED_NOT_RUN
EIA-blend-0.90,Yes,No,Yes,0.25923787738905013,0.21231894283268554,0.35879941646257546,0.20585361195490373,0.19445298260741295,0.2721889861993156,Direct target-signal blending control,NOT_PRELOCKED_NOT_RUN
EIA-blend-0.75,Yes,No,Yes,0.3167074717825293,0.25322767271552393,0.477864731143299,0.2482091335559722,0.26138899092264367,0.4065738336494343,Direct target-signal blending control,NOT_PRELOCKED_NOT_RUN
Full PCC,Yes,Yes,No,0.44397692155780993,0.26671044302084707,0.41423683094124614,0.3654269007114933,0.23822373120425466,0.309313693664386,Canonical iterative target-conditioned update,NOT_PRELOCKED_NOT_RUN
No-smoothing PCC,Yes,Yes,No,0.6367851405000626,0.32036574405808416,0.6473279573040465,0.45122727714465866,0.269638303937967,0.40436480206898673,Prelocked candidate; no discrepancy smoothing,NOT_PRELOCKED_NOT_RUN
