cohort,claim,authority_exact,V2_1_display,authority,status
RHUH,Full PCC vs Fixed n,39,rounded in text / exact in Table 2 source,outputs/pcc_rhuh_external_stage_b_confirmatory_validation_2026/06_CONFIRMATORY_STATISTICS/RHUH_STAGE_B_CONFIRMATORY_STATISTICS.csv,PASS
RHUH,Full PCC vs Fixed mean_difference,0.17592672180407568,rounded in text / exact in Table 2 source,outputs/pcc_rhuh_external_stage_b_confirmatory_validation_2026/06_CONFIRMATORY_STATISTICS/RHUH_STAGE_B_CONFIRMATORY_STATISTICS.csv,PASS
RHUH,Full PCC vs Fixed median_difference,0.1853165072216912,rounded in text / exact in Table 2 source,outputs/pcc_rhuh_external_stage_b_confirmatory_validation_2026/06_CONFIRMATORY_STATISTICS/RHUH_STAGE_B_CONFIRMATORY_STATISTICS.csv,PASS
RHUH,Full PCC vs Fixed wins,39,rounded in text / exact in Table 2 source,outputs/pcc_rhuh_external_stage_b_confirmatory_validation_2026/06_CONFIRMATORY_STATISTICS/RHUH_STAGE_B_CONFIRMATORY_STATISTICS.csv,PASS
RHUH,Full PCC vs Fixed ties,0,rounded in text / exact in Table 2 source,outputs/pcc_rhuh_external_stage_b_confirmatory_validation_2026/06_CONFIRMATORY_STATISTICS/RHUH_STAGE_B_CONFIRMATORY_STATISTICS.csv,PASS
RHUH,Full PCC vs Fixed losses,0,rounded in text / exact in Table 2 source,outputs/pcc_rhuh_external_stage_b_confirmatory_validation_2026/06_CONFIRMATORY_STATISTICS/RHUH_STAGE_B_CONFIRMATORY_STATISTICS.csv,PASS
RHUH,Full PCC vs Fixed wilcoxon_p_two_sided,3.637978807091713e-12,rounded in text / exact in Table 2 source,outputs/pcc_rhuh_external_stage_b_confirmatory_validation_2026/06_CONFIRMATORY_STATISTICS/RHUH_STAGE_B_CONFIRMATORY_STATISTICS.csv,PASS
RHUH,Full PCC vs Fixed holm_adjusted_p,7.275957614183426e-12,rounded in text / exact in Table 2 source,outputs/pcc_rhuh_external_stage_b_confirmatory_validation_2026/06_CONFIRMATORY_STATISTICS/RHUH_STAGE_B_CONFIRMATORY_STATISTICS.csv,PASS
RHUH,Full PCC vs Fixed cohens_dz,2.236074987445618,rounded in text / exact in Table 2 source,outputs/pcc_rhuh_external_stage_b_confirmatory_validation_2026/06_CONFIRMATORY_STATISTICS/RHUH_STAGE_B_CONFIRMATORY_STATISTICS.csv,PASS
RHUH,Full PCC vs Fixed rank_biserial,1.0,rounded in text / exact in Table 2 source,outputs/pcc_rhuh_external_stage_b_confirmatory_validation_2026/06_CONFIRMATORY_STATISTICS/RHUH_STAGE_B_CONFIRMATORY_STATISTICS.csv,PASS
RHUH,No-smoothing PCC vs Full PCC n,39,rounded in text / exact in Table 2 source,outputs/pcc_rhuh_external_stage_b_confirmatory_validation_2026/06_CONFIRMATORY_STATISTICS/RHUH_STAGE_B_CONFIRMATORY_STATISTICS.csv,PASS
RHUH,No-smoothing PCC vs Full PCC mean_difference,0.08580037643316532,rounded in text / exact in Table 2 source,outputs/pcc_rhuh_external_stage_b_confirmatory_validation_2026/06_CONFIRMATORY_STATISTICS/RHUH_STAGE_B_CONFIRMATORY_STATISTICS.csv,PASS
RHUH,No-smoothing PCC vs Full PCC median_difference,0.08833724180671815,rounded in text / exact in Table 2 source,outputs/pcc_rhuh_external_stage_b_confirmatory_validation_2026/06_CONFIRMATORY_STATISTICS/RHUH_STAGE_B_CONFIRMATORY_STATISTICS.csv,PASS
RHUH,No-smoothing PCC vs Full PCC wins,38,rounded in text / exact in Table 2 source,outputs/pcc_rhuh_external_stage_b_confirmatory_validation_2026/06_CONFIRMATORY_STATISTICS/RHUH_STAGE_B_CONFIRMATORY_STATISTICS.csv,PASS
RHUH,No-smoothing PCC vs Full PCC ties,0,rounded in text / exact in Table 2 source,outputs/pcc_rhuh_external_stage_b_confirmatory_validation_2026/06_CONFIRMATORY_STATISTICS/RHUH_STAGE_B_CONFIRMATORY_STATISTICS.csv,PASS
RHUH,No-smoothing PCC vs Full PCC losses,1,rounded in text / exact in Table 2 source,outputs/pcc_rhuh_external_stage_b_confirmatory_validation_2026/06_CONFIRMATORY_STATISTICS/RHUH_STAGE_B_CONFIRMATORY_STATISTICS.csv,PASS
RHUH,No-smoothing PCC vs Full PCC wilcoxon_p_two_sided,7.275957614183426e-12,rounded in text / exact in Table 2 source,outputs/pcc_rhuh_external_stage_b_confirmatory_validation_2026/06_CONFIRMATORY_STATISTICS/RHUH_STAGE_B_CONFIRMATORY_STATISTICS.csv,PASS
RHUH,No-smoothing PCC vs Full PCC holm_adjusted_p,7.275957614183426e-12,rounded in text / exact in Table 2 source,outputs/pcc_rhuh_external_stage_b_confirmatory_validation_2026/06_CONFIRMATORY_STATISTICS/RHUH_STAGE_B_CONFIRMATORY_STATISTICS.csv,PASS
RHUH,No-smoothing PCC vs Full PCC cohens_dz,1.8073467410504533,rounded in text / exact in Table 2 source,outputs/pcc_rhuh_external_stage_b_confirmatory_validation_2026/06_CONFIRMATORY_STATISTICS/RHUH_STAGE_B_CONFIRMATORY_STATISTICS.csv,PASS
RHUH,No-smoothing PCC vs Full PCC rank_biserial,0.9974358974358974,rounded in text / exact in Table 2 source,outputs/pcc_rhuh_external_stage_b_confirmatory_validation_2026/06_CONFIRMATORY_STATISTICS/RHUH_STAGE_B_CONFIRMATORY_STATISTICS.csv,PASS
