condition,method,metric,N,mean,SD,median,Q1,Q3,bootstrap_95ci_low,bootstrap_95ci_high
CLEAN,FULL_PCC,dice_topk,40,0.3884208514831534,0.1735083320190867,0.37746157603644065,0.2644963101871098,0.49369194950449413,0.3365972847449118,0.4418737624580479
CLEAN,FULL_PCC,iou_topk,40,0.25657411219916976,0.15010497062885392,0.2326364630461027,0.15240340790608267,0.3277877622527373,0.21331284394623987,0.30467493835986287
CLEAN,FULL_PCC,dice_fixed05,40,0.27581521931170416,0.16395723472857707,0.2688331176155764,0.13521565221717144,0.35199818057349247,0.22791872310675831,0.3278332204503853
CLEAN,FULL_PCC,iou_fixed05,40,0.17139321652468817,0.12443351245705073,0.1552927326378723,0.07251013962724932,0.21360567665733216,0.13572793345185713,0.21096715938354937
CLEAN,FULL_PCC,target_mass,40,13680.183459365298,14640.95252343301,8321.773309435499,2986.321865959927,17319.05342209214,9554.16612513919,18354.280555959278
CLEAN,FULL_PCC,false_guidance_mass,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLEAN,FULL_PCC,outside_clean_target_mass,40,39035.346071551394,23881.542891155426,33627.45262415401,22223.564393970744,53107.977586800014,31966.210122813976,46594.08768255583
CLEAN,FULL_PCC,predicted_positive_voxels,40,49772.45,30513.473206530278,42716.0,25060.75,73841.5,40635.3925,59354.70249999999
CLEAN,NO_SMOOTHING_PCC,dice_topk,40,0.5001397076361601,0.17635167273893507,0.5133707035864199,0.378782574342467,0.5945198148192297,0.44627053110387643,0.555533515126085
CLEAN,NO_SMOOTHING_PCC,iou_topk,40,0.35286069087298594,0.17180273126063633,0.34532706485859244,0.23365009788676036,0.423088592244941,0.30178451649975585,0.40774575075319097
CLEAN,NO_SMOOTHING_PCC,dice_fixed05,40,0.32630573453148043,0.17977369015481962,0.3109660123529575,0.18142151684014135,0.40082840840807044,0.27313520156325033,0.3829115058411018
CLEAN,NO_SMOOTHING_PCC,iou_fixed05,40,0.20974898747691487,0.14277741473411537,0.18412118370056446,0.09979721177649092,0.25064753283178004,0.16828520791001308,0.2559325072492322
CLEAN,NO_SMOOTHING_PCC,target_mass,40,14879.349930300956,15243.482122630598,9761.554408675001,3479.986600231139,18839.05158319856,10582.025548644067,19676.341890613337
CLEAN,NO_SMOOTHING_PCC,false_guidance_mass,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLEAN,NO_SMOOTHING_PCC,outside_clean_target_mass,40,34807.15820422012,22018.041372946293,30266.288455120957,19741.81997002041,49009.1906267902,28092.220935387722,41801.012792867725
CLEAN,NO_SMOOTHING_PCC,predicted_positive_voxels,40,45483.975,28076.079214809928,38321.5,22878.75,68882.5,36985.575625,54151.990625
FP_25,FULL_PCC,dice_topk,40,0.3841702119706099,0.1739224612510571,0.3753987679435118,0.2585386907252648,0.49127557635214103,0.332306656083756,0.43858331440830334
FP_25,FULL_PCC,iou_topk,40,0.2532512630755264,0.14962663784474817,0.23107139879256774,0.1484611275296859,0.32566209041826655,0.21061736210353127,0.30109961905722366
FP_25,FULL_PCC,dice_fixed05,40,0.27276985496237155,0.16317646261239283,0.26502162193537643,0.13192323351501006,0.34933770738334124,0.22514039640675412,0.32408616844940397
FP_25,FULL_PCC,iou_fixed05,40,0.16917086489168764,0.12329466529526888,0.15275248478440595,0.0706198419239121,0.211640474791881,0.13402669362124914,0.20798210661603833
FP_25,FULL_PCC,target_mass,40,13680.432239379883,14641.16693272674,8322.021533203126,2986.4087524414062,17319.409375,9487.32784893799,18421.98661828613
FP_25,FULL_PCC,false_guidance_mass,40,240.22150064468383,206.5010191466247,201.64433898925782,81.12478866577149,365.82975616455076,178.33974343204497,305.6632934043407
FP_25,FULL_PCC,outside_clean_target_mass,40,39723.934143066406,24225.333847596852,33919.100390625,22928.47197265625,53682.864453125,32647.26283380127,47236.894595703125
