cohort,comparison,n,mean_difference,median_difference,wins,ties,losses,raw_p,holm_p,ci_low,ci_high,cohens_dz,rank_biserial
Internal,Full PCC vs Fixed,113,0.20471099292311104,0.21172012491758974,113,0,0,2.803208638992356e-20,5.606417277984712e-20,0.19096274516534176,0.21809736940125662,2.7464126013186316,1.0
Internal,No-smoothing PCC vs Full PCC,113,0.19280821894225278,0.1888692372008789,113,0,0,2.803208638992356e-20,5.606417277984712e-20,0.17365072852238414,0.2130463259870739,1.7969451138450405,1.0
RHUH,Full PCC vs Fixed,39,0.17592672180407568,0.1853165072216912,39,0,0,3.637978807091713e-12,7.275957614183426e-12,0.15085505697494797,0.19916239291277402,2.236074987445618,1.0
RHUH,No-smoothing PCC vs Full PCC,39,0.08580037643316532,0.08833724180671815,38,0,1,7.275957614183426e-12,7.275957614183426e-12,0.07161981698837586,0.1005533622159637,1.8073467410504533,0.9974358974358974
