fingerprint,observed,expected,abs_difference,status
Fixed mean Dice@0.5,0.23926592863469887,0.239266,7.13653011408244e-08,PASS
Full PCC mean Dice@0.5,0.44397692155780993,0.443977,7.844219007679953e-08,PASS
No-smoothing PCC mean Dice@0.5,0.6367851405000626,0.636785,1.4050006258425896e-07,PASS
Full PCC - Fixed mean paired difference,0.20471099292311107,0.204711,7.076888935975134e-09,PASS
No-smoothing PCC - Full PCC mean paired difference,0.1928082189422527,0.192808,2.1894225268881407e-07,PASS
Full PCC raw Wilcoxon p,2.803208638992356e-20,2.803208638992356e-20,0.0,PASS
No-smoothing raw Wilcoxon p,2.803208638992356e-20,2.803208638992356e-20,0.0,PASS
