relative_path,pre_size_bytes,post_size_bytes,pre_sha256,post_sha256,status
04_layer1_statistical_reaudit/LAYER1_V1_1_TWO_SIDED_STATISTICS.csv,1452,1452,0cb79f80348bff42b0cee40924105669e20d9b5d1567c82c02e49bd2e0ebc55c,0cb79f80348bff42b0cee40924105669e20d9b5d1567c82c02e49bd2e0ebc55c,UNCHANGED
04_layer1_statistical_reaudit/LAYER1_V1_TWO_SIDED_STATISTICS.csv,1459,1459,e8db6587ae5b9af7cd3211187004ad6b452b156525dd47101396d97ba8b8cbd4,e8db6587ae5b9af7cd3211187004ad6b452b156525dd47101396d97ba8b8cbd4,UNCHANGED
05_layer3_statistical_reaudit/LAYER3A_REAUDITED_STATISTICS.csv,1996,1996,57e486bfe7a1703e9b3b9fa5b00076f72fab7127e8188b72272e89f397624438,57e486bfe7a1703e9b3b9fa5b00076f72fab7127e8188b72272e89f397624438,UNCHANGED
05_layer3_statistical_reaudit/LAYER3B_REAUDITED_STATISTICS.csv,2554,2554,a471be3a77649ea4143f130618d05738df104b5f9e2aa5ef327c36a8ce0dfde8,a471be3a77649ea4143f130618d05738df104b5f9e2aa5ef327c36a8ce0dfde8,UNCHANGED
06_cohort_selection_audit/COHORT_AUDIT_STATUS.json,152,152,204e010994e67f48c9c6998167cf7d186cc87c6fd808db8fa9017d20d23a030a,204e010994e67f48c9c6998167cf7d186cc87c6fd808db8fa9017d20d23a030a,UNCHANGED
10_raw_statistical_inputs/imperfect_guidance/IMPERFECT_GUIDANCE_REPEAT_METRICS.csv,2194689,2194689,a5f56a2c43cb3d45cc8ef59970181c45214348caba45bbbd4dc95a0e3a84a4a4,a5f56a2c43cb3d45cc8ef59970181c45214348caba45bbbd4dc95a0e3a84a4a4,UNCHANGED
10_raw_statistical_inputs/layer1/LAYER1_V1_1_CASE_METRICS.csv,14227,14227,cb8c55435094a3d0c6f7f98b10ab431feedc66be7fdbca78267ce3fb07b1590b,cb8c55435094a3d0c6f7f98b10ab431feedc66be7fdbca78267ce3fb07b1590b,UNCHANGED
10_raw_statistical_inputs/layer1/LAYER1_V1_CASE_METRICS.csv,14235,14235,88d75cf27dde3d1f3accec281a7206494fccfd5388ae52f8cee578541aeedc1c,88d75cf27dde3d1f3accec281a7206494fccfd5388ae52f8cee578541aeedc1c,UNCHANGED
10_raw_statistical_inputs/layer3/LAYER3A_CASE_METRICS.csv,38325,38325,0f82626832a608523d7fec38a0fc87087d8b56ef7724ee348cc14f46cdfa40a3,0f82626832a608523d7fec38a0fc87087d8b56ef7724ee348cc14f46cdfa40a3,UNCHANGED
10_raw_statistical_inputs/layer3/LAYER3B_CASE_METRICS.csv,37452,37452,14d1f5e6ae529fb8440376f59d24196e2c4405c4810e768665b88049bdf1ac01,14d1f5e6ae529fb8440376f59d24196e2c4405c4810e768665b88049bdf1ac01,UNCHANGED
INTERNAL_NUMERIC_SOURCE_OF_TRUTH.csv,102178,102178,70ac0f921e98151004c981387f054cd14058559148cc3f6421b0a3c2f5b8eec6,70ac0f921e98151004c981387f054cd14058559148cc3f6421b0a3c2f5b8eec6,UNCHANGED
INTERNAL_VALIDITY_PATCH_MASTER_METRICS.csv,102178,102178,70ac0f921e98151004c981387f054cd14058559148cc3f6421b0a3c2f5b8eec6,70ac0f921e98151004c981387f054cd14058559148cc3f6421b0a3c2f5b8eec6,UNCHANGED
INTERNAL_VALIDITY_PATCH_PAIRED_STATISTICS.csv,58608,58608,1eff25cbb21b77b4241ffdc6959787679afbcecbe6bfccf8d4dda8c456a9f45a,1eff25cbb21b77b4241ffdc6959787679afbcecbe6bfccf8d4dda8c456a9f45a,UNCHANGED
INTERNAL_VALIDITY_PATCH_STATUS.csv,897,897,7bc53eaaccdd81e0828632a9e6ecdbe944a65dc13ed49ad497c9f05de6dee621,7bc53eaaccdd81e0828632a9e6ecdbe944a65dc13ed49ad497c9f05de6dee621,UNCHANGED
pcc_internal_validity_patch_2026/02_target_independent_evaluation/TARGET_INDEPENDENT_CASE_METRICS.csv,194793,194793,46f70b7c9ffea1851e332cba0d7fe335a212a28f9efcde360868f749f9d340fd,46f70b7c9ffea1851e332cba0d7fe335a212a28f9efcde360868f749f9d340fd,UNCHANGED
pcc_internal_validity_patch_2026/06_cohort_selection_audit/COHORT_AUDIT_STATUS.json,152,152,204e010994e67f48c9c6998167cf7d186cc87c6fd808db8fa9017d20d23a030a,204e010994e67f48c9c6998167cf7d186cc87c6fd808db8fa9017d20d23a030a,UNCHANGED
