condition,metric,N,mean,SD,median,Q1,Q3,bootstrap_95ci_low,bootstrap_95ci_high,family,method,evaluation_mode
PARTIAL_25,dice,40,0.32763538868724157,0.19767822312967662,0.2780864894841677,0.16981723045887281,0.4330779517227047,0.2693104448994408,0.3904578719920362,imperfect_guidance,EIA_LINEAR,
PARTIAL_25,iou,40,0.2144020918658185,0.16183272770514617,0.1615430197281795,0.09278721334022971,0.2763877242798228,0.1671880800156257,0.26524440016174533,imperfect_guidance,EIA_LINEAR,
PARTIAL_25,dice,40,0.32372225537501925,0.1641362693263026,0.3150063162784368,0.20184651062316797,0.43993323361161807,0.2747351958953845,0.3760552226252676,imperfect_guidance,PCC,
PARTIAL_25,iou,40,0.2056780070724879,0.1330845075932169,0.18694816119023214,0.11226134633933295,0.28199964710025927,0.1670558986596695,0.24903064163834407,imperfect_guidance,PCC,
PARTIAL_50,dice,40,0.49228363235520345,0.214738278520055,0.52055909278046,0.32985091933006416,0.6263383061859218,0.42639916640830755,0.5575718275652802,imperfect_guidance,EIA_BLEND_075,
PARTIAL_50,iou,40,0.35359533368858775,0.19704228032407997,0.35186437329887843,0.1975070413708787,0.45604697839137687,0.2931227705302543,0.41488636513567195,imperfect_guidance,EIA_BLEND_075,
PARTIAL_50,dice,40,0.33926009082285846,0.2113828877822837,0.29594335121772175,0.17244835053283789,0.44351671177725827,0.27598045929384374,0.40563198013561264,imperfect_guidance,EIA_LINEAR,
PARTIAL_50,iou,40,0.22624260963337525,0.17865438775258846,0.1736723307656193,0.09436253846646335,0.28494794485347985,0.17519783192220256,0.2819871606525888,imperfect_guidance,EIA_LINEAR,
PARTIAL_50,dice,40,0.3491819000755053,0.17049433522895496,0.3429842354867235,0.2192788219939305,0.4663558096759517,0.2987631041550207,0.4036877829942379,imperfect_guidance,PCC,
PARTIAL_50,iou,40,0.22561972938452798,0.14172962676756598,0.2069891616174906,0.12314112158040548,0.30409023513682654,0.18466293970709766,0.27088969352270736,imperfect_guidance,PCC,
SHIFT_3,dice,40,0.4845170299996234,0.19844053360332464,0.5020908012265854,0.3483837060109567,0.6272613591458694,0.4246894393450624,0.5430516934792186,imperfect_guidance,EIA_BLEND_075,
SHIFT_3,iou,40,0.34278763825957725,0.1787811719080088,0.3354134156419276,0.21093833479201962,0.4570095973479072,0.2887146595721682,0.3994677435055201,imperfect_guidance,EIA_BLEND_075,
SHIFT_3,dice,40,0.34053565335051517,0.20773477741274257,0.29828623223080875,0.17220225056872351,0.44555729907312497,0.27931950902488967,0.40654457424112866,imperfect_guidance,EIA_LINEAR,
SHIFT_3,iou,40,0.2261098916522589,0.17254159073381528,0.17528851302495924,0.09421562824667318,0.2866376079571102,0.17503359515964753,0.28181677425881424,imperfect_guidance,EIA_LINEAR,
SHIFT_3,dice,40,0.3684392010009529,0.17127513921471288,0.36299686423099475,0.24097492554005212,0.4824959646309791,0.3169918576583797,0.42292475833372434,imperfect_guidance,PCC,
