protocol,endpoint,role,claim_status,source_file
v1,main_threshold_dice,primary_protocol_candidate,SUPPORTED_AFTER_HOLM,outputs/final_report/05_LAYER1/formal_v1/LAYER1_CASE_METRICS.csv
v1,main_threshold_iou,primary_protocol_candidate,SUPPORTED_AFTER_HOLM,outputs/final_report/05_LAYER1/formal_v1/LAYER1_CASE_METRICS.csv
v1,fixed05_dice,primary_protocol_candidate,SUPPORTED_AFTER_HOLM,outputs/final_report/05_LAYER1/formal_v1/LAYER1_CASE_METRICS.csv
v1,fixed05_iou,primary_protocol_candidate,SUPPORTED_AFTER_HOLM,outputs/final_report/05_LAYER1/formal_v1/LAYER1_CASE_METRICS.csv
v1_1,main_threshold_dice,15_epoch_sensitivity,SUPPORTED_AFTER_HOLM,outputs/final_report/05_LAYER1/formal_v1_1/layer1_FORMAL_v1_1_15epoch_case_metrics.csv
v1_1,main_threshold_iou,15_epoch_sensitivity,SUPPORTED_AFTER_HOLM,outputs/final_report/05_LAYER1/formal_v1_1/layer1_FORMAL_v1_1_15epoch_case_metrics.csv
v1_1,fixed05_dice,15_epoch_sensitivity,SUPPORTED_AFTER_HOLM,outputs/final_report/05_LAYER1/formal_v1_1/layer1_FORMAL_v1_1_15epoch_case_metrics.csv
v1_1,fixed05_iou,15_epoch_sensitivity,SUPPORTED_AFTER_HOLM,outputs/final_report/05_LAYER1/formal_v1_1/layer1_FORMAL_v1_1_15epoch_case_metrics.csv
