case_id,fold,baseline_threshold,pcc_threshold,baseline_train_dice,pcc_train_dice,baseline_dice,pcc_dice,dice_gain,baseline_iou,pcc_iou,iou_gain,baseline_dice_fixed05,pcc_dice_fixed05,dice_gain_fixed05,baseline_iou_fixed05,pcc_iou_fixed05,iou_gain_fixed05,target_voxels
PatientID_0019_T4_to_T5_t1c,3,0.8000000000000002,0.9000000000000002,0.6595911836463108,0.7081791027082435,0.0260584738568419,0.0030073774730973,-0.0230510963837445,0.01320123899921,0.001505953221563,-0.011695285777647,0.0592292602672363,0.0460539263926131,-0.0131753338746232,0.0305184219108726,0.0235697018535228,-0.0069487200573497,39143
PatientID_0022_T1_to_T2_t1c,5,0.9000000000000002,0.9000000000000002,0.5807717271273846,0.6842957475975181,0.6066507866405199,0.5866147055314914,-0.0200360811090284,0.4353903392085427,0.4150423156568258,-0.0203480235517168,0.5233776815007091,0.5826297455275555,0.0592520640268464,0.354442483324131,0.4110639006915182,0.0566214173673872,154238
PatientID_0054_T1_to_T2_t1c,4,0.9000000000000002,0.9000000000000002,0.5793238084336212,0.6622562405513831,0.5491146748451843,0.536867229475786,-0.0122474453693982,0.3784686944756389,0.3669299466810918,-0.0115387477945471,0.5015361520207858,0.5076484840864255,0.0061123320656396,0.3347002016079058,0.3401668297804983,0.0054666281725924,135057
PatientID_0020_T1_to_T2_t1c,1,0.9000000000000002,0.9000000000000002,0.7245848549169419,0.72042240365509,0.7270573381446565,0.7148448179110695,-0.0122125202335869,0.5711626767893747,0.55623229620346,-0.0149303805859146,0.610683301386125,0.5817321873569861,-0.0289511140291389,0.4395565834596507,0.4101709015541491,-0.0293856819055016,61040
PatientID_0026_T1_to_T2_t1c,3,0.8000000000000002,0.9000000000000002,0.6595911836463108,0.7081791027082435,0.6979149616609893,0.6922088412395453,-0.005706120421444,0.5359979886961076,0.5292961621606666,-0.006701826535441,0.6199280827074483,0.5800229208953054,-0.0399051618121428,0.4491998387472788,0.4084734390649653,-0.0407263996823135,137089
PatientID_0034_T1_to_T2_t1c,4,0.9000000000000002,0.9000000000000002,0.5793238084336212,0.6622562405513831,0.2344496425801793,0.2355463635846519,0.0010967210044725,0.1327912520846176,0.1334953544391381,0.0007041023545204,0.1397279540863726,0.1604486801949145,0.0207207261085418,0.0751115700487616,0.0872216384873349,0.0121100684385733,31646
PatientID_0044_T1_to_T2_t1c,4,0.9000000000000002,0.9000000000000002,0.5793238084336212,0.6622562405513831,0.0464843750000517,0.0491446785904693,0.0026603035904175,0.0237952409518638,0.0251913496870851,0.0013961087352212,0.0894395012974959,0.081295088143061,-0.0081444131544349,0.04681322646326,0.0423697712142804,-0.0044434552489795,64268
PatientID_0025_T1_to_T2_t1c,1,0.9000000000000002,0.9000000000000002,0.7245848549169419,0.72042240365509,0.108540895138263,0.1137405102929106,0.0051996151546475,0.0573847432700421,0.0602995032833909,0.0029147600133488,0.1302781498011031,0.1349509716527087,0.0046728218516055,0.0696778238898227,0.072357868131919,0.0026800442420962,101519
PatientID_0055_T1_to_T4_t1c,4,0.9000000000000002,0.9000000000000002,0.5793238084336212,0.6622562405513831,0.608798575773608,0.6172173091018782,0.0084187333282702,0.4376063488521493,0.4463588625780427,0.0087525137258933,0.417992307431889,0.4670962174415732,0.0491039100096842,0.2642163558341255,0.3047133308406335,0.040496975006508,148668
PatientID_0031_T2_to_T3_t1c,5,0.9000000000000002,0.9000000000000002,0.5807717271273846,0.6842957475975181,0.6813521558887564,0.6932344621970915,0.011882306308335,0.5167051680488653,0.5304964373047811,0.0137912692559157,0.6315387090475676,0.700516957408939,0.0689782483613714,0.46149548637071,0.5390735657559494,0.0775780793852394,143820
