evaluation,method,metric,N_total,N_finite,mean,SD,median,Q1,Q3,bootstrap_95ci_low,bootstrap_95ci_high
crossfitted_threshold,EIA_BLEND_075,dice_fixed,40,40,0.37754535348458695,0.23258755846549065,0.2985329319622618,0.20284244469684937,0.550618475287691,0.30795832209649593,0.44892967234582193
crossfitted_threshold,EIA_BLEND_075,iou_fixed,40,40,0.26054002104111984,0.20162470811944427,0.17546629373464,0.1128970828992272,0.3800746849960205,0.20284973011685048,0.3247054885980206
crossfitted_threshold,EIA_BLEND_075,precision_fixed,40,40,0.6801726883077212,0.318681215813551,0.8157998250020576,0.675818431911967,0.8987047321972003,0.5753459429681089,0.7743177408199317
crossfitted_threshold,EIA_BLEND_075,recall_fixed,40,40,0.475369073540293,0.33788392317766514,0.3650741052233675,0.16833028476500403,0.807792377378546,0.3732410765324792,0.5811389902418012
crossfitted_threshold,EIA_BLEND_075,specificity_fixed,40,40,0.997529739866619,0.004825228404799319,0.999832616199791,0.9993077950944701,0.9999479618125295,0.9959896315264258,0.9988777675035507
crossfitted_threshold,EIA_BLEND_075,soft_dice,40,40,0.28131005492553873,0.15852512286753923,0.2780201741335644,0.17164232330191065,0.3765688213771389,0.2321549027843538,0.33031351313524043
crossfitted_threshold,EIA_BLEND_075,brier_score,40,40,0.003890581461847808,0.0017167292280750811,0.0036685579970562,0.00253687585542375,0.0051990502598,0.003374683579172334,0.00441870859806106
crossfitted_threshold,EIA_BLEND_075,average_precision,40,40,0.6121474136258659,0.18563195992751366,0.6301858149996953,0.4742478301120359,0.7375934038813589,0.5551162346205734,0.6687171069824952
crossfitted_threshold,EIA_BLEND_075,target_probability_mass,40,40,14472.526723194122,14585.492519999427,10362.9595413208,3454.9476051330566,21419.99479866028,10244.582286839486,19109.438130130766
crossfitted_threshold,EIA_BLEND_075,outside_target_probability_mass,40,40,40113.08252847195,22485.89610879622,32898.13268107176,24915.52429948747,53999.66249591112,33380.24602251648,47183.66746715084
crossfitted_threshold,EIA_BLEND_075,predicted_positive_voxels,40,40,32991.425,45875.4766173173,11703.0,3139.75,39027.5,19772.128125,48106.66187499999
crossfitted_threshold,EIA_BLEND_075,volume_error_voxels,40,40,2680.725,56862.11598648873,-9479.0,-24614.0,1346.75,-13883.945,21418.265
crossfitted_threshold,EIA_BLEND_090,dice_fixed,40,40,0.3341033947313113,0.23192491369246215,0.2566743258171019,0.14816040196054858,0.49463270150725624,0.26385463014791083,0.4085243926862466
crossfitted_threshold,EIA_BLEND_090,iou_fixed,40,40,0.22674946084381328,0.1953660944073929,0.14723976269162403,0.08000883797428707,0.3287099498419074,0.16942975352125703,0.28910454122806595
crossfitted_threshold,EIA_BLEND_090,precision_fixed,40,40,0.6738380454438817,0.32620995193358593,0.7997517331676496,0.5985796815134099,0.9032450431042715,0.5694000087963199,0.7674611237403033
crossfitted_threshold,EIA_BLEND_090,recall_fixed,40,40,0.4386868440673032,0.3470260970316967,0.3033525580269818,0.1313637545151402,0.7321098612409004,0.33385801665068104,0.5472770762133886
crossfitted_threshold,EIA_BLEND_090,specificity_fixed,40,40,0.9969924942364529,0.005990743956219473,0.9998519997943462,0.9993620430422848,0.9999558731249913,0.9950357465267761,0.9987106009656983
crossfitted_threshold,EIA_BLEND_090,soft_dice,40,40,0.24562399141023078,0.15025941879018279,0.2196780350409674,0.12069085226977486,0.319688849110811,0.20260460448194106,0.29384473366159
crossfitted_threshold,EIA_BLEND_090,brier_score,40,40,0.005253833423369927,0.002331836347505448,0.0048420050493755,0.003398552784192375,0.00687389475803445,0.004546511021925683,0.005970576334433731
crossfitted_threshold,EIA_BLEND_090,average_precision,40,40,0.552788739030424,0.1958594478446953,0.5690746366808433,0.3897229942346019,0.6992687237747447,0.4939674433662884,0.6131312268675636
crossfitted_threshold,EIA_BLEND_090,target_probability_mass,40,40,13312.28932569027,14159.559970104761,8355.971206665039,2969.7869749069214,16911.49363708496,9296.472168559432,18041.455059944987
crossfitted_threshold,EIA_BLEND_090,outside_target_probability_mass,40,40,45997.45110546947,27141.450232936873,39116.00793015957,26959.600651502606,61663.898176044226,37962.440224960446,54432.31601369619
crossfitted_threshold,EIA_BLEND_090,predicted_positive_voxels,40,40,36574.125,55989.15606555159,9366.0,2632.5,34939.5,20995.510000000002,54467.878124999996
crossfitted_threshold,EIA_BLEND_090,volume_error_voxels,40,40,6263.425,67421.99524118166,-10304.0,-26077.5,219.0,-13459.873125,27765.3425
crossfitted_threshold,EIA_LINEAR,dice_fixed,40,40,0.3974791922416317,0.25598094771390817,0.4219267678967678,0.1827623354070777,0.5729991626389404,0.32104717567960755,0.4764278650319657
crossfitted_threshold,EIA_LINEAR,iou_fixed,40,40,0.2813950111923359,0.21694553149115753,0.26841945743932794,0.10060863583494713,0.40165084835800957,0.21616320597190988,0.3501483172694472
crossfitted_threshold,EIA_LINEAR,precision_fixed,40,40,0.29113639437102756,0.2283706880271935,0.2754804937677186,0.10084793888773994,0.404383083312069,0.22351908295065384,0.3631040045174724
crossfitted_threshold,EIA_LINEAR,recall_fixed,40,40,0.9378791073498206,0.04581151546243586,0.9444536210256838,0.9026844362592696,0.9747008407249045,0.9235382380689862,0.9515206353993457
crossfitted_threshold,EIA_LINEAR,specificity_fixed,40,40,0.9926375856741665,0.004071254829486423,0.9940012477713274,0.9898357148824546,0.9954855115244965,0.9913482784791674,0.9938718282235067
crossfitted_threshold,EIA_LINEAR,soft_dice,40,40,0.2861737347801731,0.1637709906522986,0.28291318770658347,0.1771353200143124,0.4002670238263678,0.2364357510054194,0.33639174580216896
crossfitted_threshold,EIA_LINEAR,brier_score,40,40,0.005168085506657311,0.002461844723072895,0.004820311464131951,0.0033332930786990752,0.0069080374134381,0.004430380281055151,0.005944713756581172
crossfitted_threshold,EIA_LINEAR,average_precision,40,40,0.35171750638501914,0.2316759522010591,0.3041561766248225,0.16908819856438723,0.4905356244151174,0.28243763607391453,0.42384166108304605
crossfitted_threshold,EIA_LINEAR,target_probability_mass,40,40,16279.534837007523,16132.092106560462,11689.343254089355,4017.0164299011235,23839.96139526367,11638.656191290618,21394.058037128445
crossfitted_threshold,EIA_LINEAR,outside_target_probability_mass,40,40,49088.045594786105,28435.3640639512,40425.51770815253,28352.120144024488,66375.62957823277,40408.85405390825,58264.01865188651
crossfitted_threshold,EIA_LINEAR,predicted_positive_voxels,40,40,94057.15,42552.968916609665,83145.5,58364.0,131643.5,80986.926875,107225.24187499999
crossfitted_threshold,EIA_LINEAR,volume_error_voxels,40,40,63746.45,37131.129589777105,53546.5,36175.25,87237.0,52570.27875,75415.25687499999
crossfitted_threshold,EIA_MORPH,dice_fixed,40,40,0.25650002980728204,0.15550404415166474,0.22593061013730614,0.15181436438784462,0.3295072140538873,0.21071143096196918,0.3057392881052041
crossfitted_threshold,EIA_MORPH,iou_fixed,40,40,0.15723190906303378,0.11741268909276524,0.12736635857768258,0.0821424623098489,0.1972895913705247,0.12358783148708104,0.1956563053738466
crossfitted_threshold,EIA_MORPH,precision_fixed,40,40,0.2528093255299896,0.19779996521953677,0.20404809098682908,0.10559630725501074,0.3874657515113273,0.19559739422369724,0.3154093832677751
crossfitted_threshold,EIA_MORPH,recall_fixed,40,40,0.524725483221478,0.2968630074537599,0.49207607063255754,0.23169068739942264,0.797087833939873,0.4343590801706822,0.6172006802853086
crossfitted_threshold,EIA_MORPH,specificity_fixed,40,40,0.995696639801114,0.0030530070269655144,0.9962510372729501,0.9937593175533542,0.9980762545890562,0.9947342470645472,0.996607438325119
crossfitted_threshold,EIA_MORPH,soft_dice,40,40,0.25650002980728204,0.15550404415166474,0.22593061013730614,0.15181436438784462,0.3295072140538873,0.21114267767046527,0.3048410274803995
crossfitted_threshold,EIA_MORPH,brier_score,40,40,0.006258750560035794,0.0031261185462928306,0.00593044354838705,0.003905829973118225,0.008815552195340476,0.005331302223342249,0.007238519615255322
crossfitted_threshold,EIA_MORPH,average_precision,40,40,0.11467377624729638,0.11582768026106906,0.08279265855165185,0.039656459951772825,0.139384098419034,0.08237941200387183,0.15279794637865696
crossfitted_threshold,EIA_MORPH,target_probability_mass,40,40,12737.2,14489.839768716456,7454.0,2530.75,15464.5,8690.17375,17536.348124999997
crossfitted_threshold,EIA_MORPH,outside_target_probability_mass,40,40,38304.625,27196.626649497903,33266.0,17159.25,55489.75,30218.271875,46920.73499999999
crossfitted_threshold,EIA_MORPH,predicted_positive_voxels,40,40,51041.825,33786.91781337214,42934.5,22071.25,75573.0,40801.948125,61581.08499999999
crossfitted_threshold,EIA_MORPH,volume_error_voxels,40,40,20731.125,41343.94991809718,16323.5,5015.5,40997.0,8130.238125,33184.619374999995
crossfitted_threshold,FIXED,dice_fixed,40,40,0.21556589877238333,0.16057018126125533,0.17748534359324275,0.09120109104428663,0.2974687837566823,0.16985336051023686,0.2674448003235076
crossfitted_threshold,FIXED,iou_fixed,40,40,0.1313672112469555,0.12157618406826766,0.097390090059592,0.04777947631895055,0.17472968625102625,0.09709098228087021,0.17089179892254988
crossfitted_threshold,FIXED,precision_fixed,40,40,0.24737815967776156,0.21487296882396767,0.17130968671296054,0.07277283475846084,0.3761792688631038,0.18376089434594103,0.3157994889255531
crossfitted_threshold,FIXED,recall_fixed,40,40,0.46522548417357124,0.32140922228065316,0.353651731948297,0.17300225271036326,0.7871246711662842,0.367279368754235,0.5647558775973155
crossfitted_threshold,FIXED,specificity_fixed,40,40,0.9956072658542607,0.0037075879016702394,0.9964392401106006,0.9933622066690738,0.9983626646387618,0.9944396514323594,0.9966738409168446
crossfitted_threshold,FIXED,soft_dice,40,40,0.22223404839292007,0.147081354913252,0.2052862059284397,0.09413591471964063,0.28970313001623493,0.17934569141838044,0.26881379052376175
crossfitted_threshold,FIXED,brier_score,40,40,0.006301912736929374,0.0028138783705253362,0.00580276136415055,0.004003951752135875,0.008300134343036199,0.005451139892318402,0.007166331826087403
crossfitted_threshold,FIXED,average_precision,40,40,0.2293721052409144,0.18719922765289493,0.1735853639516701,0.09479573938614945,0.35398556847904783,0.17588411988712874,0.28979215319490303
crossfitted_threshold,FIXED,target_probability_mass,40,40,12538.789270572426,14131.10760643916,7386.815138469094,2459.644349556702,15109.536019031242,8594.413416832762,17133.449927763206
crossfitted_threshold,FIXED,outside_target_probability_mass,40,40,49920.35075423998,30281.849917110932,43266.94433002483,28684.644437094365,67704.17746591396,40756.947024915404,59182.46280557085
crossfitted_threshold,FIXED,predicted_positive_voxels,40,40,49848.9,38167.943447550126,44443.5,17554.5,81661.5,38652.340000000004,61764.005
crossfitted_threshold,FIXED,volume_error_voxels,40,40,19538.2,49280.39457322057,13270.5,-7749.25,54649.75,4543.203125,34476.71687499999
crossfitted_threshold,FULL_PCC,dice_fixed,40,40,0.32575423583519675,0.1871118096506793,0.2672570518157462,0.18834634832976513,0.43879100545898797,0.2706213325910587,0.3857240353811594
crossfitted_threshold,FULL_PCC,iou_fixed,40,40,0.21165574770097412,0.1587237984263046,0.15424976246675648,0.1039662788910599,0.2810588587414125,0.16488904946224597,0.26191785512977594
crossfitted_threshold,FULL_PCC,precision_fixed,40,40,0.48470446700194253,0.2676281275058905,0.5008642301095131,0.24766895716094559,0.6888157148890002,0.40264222303230435,0.5661512390104271
crossfitted_threshold,FULL_PCC,recall_fixed,40,40,0.40093870422764766,0.2717300087946112,0.3063164901767035,0.15041722578340175,0.6430864614931382,0.3184577790478145,0.484092775961046
crossfitted_threshold,FULL_PCC,specificity_fixed,40,40,0.9990455126141079,0.0008640451282321838,0.9992491816117173,0.9987673290488704,0.9996960674806719,0.9987723991333253,0.999293426267595
crossfitted_threshold,FULL_PCC,soft_dice,40,40,0.26986480442716926,0.16020259264743347,0.2583983758673641,0.1380498078249373,0.35398810419650434,0.22190333430321788,0.320206524882015
crossfitted_threshold,FULL_PCC,brier_score,40,40,0.004702401769835172,0.0022371192227205613,0.0044005255538703,0.00297187375242395,0.006230816184005775,0.004027149191587236,0.005403257533925778
crossfitted_threshold,FULL_PCC,average_precision,40,40,0.3730950537963239,0.20958885063734023,0.36369438870739224,0.19648824527225672,0.5115405353256944,0.31172187357695474,0.4392034975285071
crossfitted_threshold,FULL_PCC,target_probability_mass,40,40,13680.183459365298,14640.95252343301,8321.773309435499,2986.321865959927,17319.05342209214,9566.795260185536,18527.89692665151
crossfitted_threshold,FULL_PCC,outside_target_probability_mass,40,40,39035.346071551394,23881.542891155426,33627.45262415401,22223.564393970744,53107.977586800014,31886.01635505074,46641.918579880046
crossfitted_threshold,FULL_PCC,predicted_positive_voxels,40,40,18120.45,15904.882556172524,11953.0,7187.75,22588.75,13541.315625,23262.693749999995
crossfitted_threshold,FULL_PCC,volume_error_voxels,40,40,-12190.25,28232.579864995216,-5292.0,-21367.0,6808.75,-21221.050625,-3922.7875000000004
crossfitted_threshold,NAIVE,dice_fixed,40,40,0.22332905692477983,0.158539755548485,0.1851367845437589,0.1060702168134207,0.2973638873188512,0.17804998904813907,0.2749626785158867
crossfitted_threshold,NAIVE,iou_fixed,40,40,0.13599878814449315,0.11948652129649688,0.10201315330480609,0.05600577742144738,0.17465663444275692,0.10293903264538765,0.17459571433610277
crossfitted_threshold,NAIVE,precision_fixed,40,40,0.2386427286908308,0.20389309753618598,0.17112545161053422,0.07175276505711511,0.36512400689322155,0.1784508099092912,0.3035579255494567
crossfitted_threshold,NAIVE,recall_fixed,40,40,0.4811063923967877,0.31106904267094476,0.3797082409563475,0.18155865072011812,0.7871246711662842,0.38706987027341516,0.5767756981061596
