category,case_id,slice_zyx_z,selection_rule,p0_source,p1_p10_source,guidance_panel,png,svg
median_layer2_gain,PatientID_0059_T1_to_T2_t1c,85,prespecified deterministic rank; case_id ascending tie break,frozen v8,canonical refinement recomputed for visualization only,clean target,median_layer2_gain__PatientID_0059_T1_to_T2_t1c.png,median_layer2_gain__PatientID_0059_T1_to_T2_t1c.svg
maximum_layer2_gain,PatientID_0006_T2_to_T4_t1c,100,prespecified deterministic rank; case_id ascending tie break,frozen v8,canonical refinement recomputed for visualization only,clean target,maximum_layer2_gain__PatientID_0006_T2_to_T4_t1c.png,maximum_layer2_gain__PatientID_0006_T2_to_T4_t1c.svg
minimum_layer2_gain,PatientID_0029_T1_to_T3_t1c,47,prespecified deterministic rank; case_id ascending tie break,frozen v8,canonical refinement recomputed for visualization only,clean target,minimum_layer2_gain__PatientID_0029_T1_to_T3_t1c.png,minimum_layer2_gain__PatientID_0029_T1_to_T3_t1c.svg
smallest_target,PatientID_0032_T1_to_T2_t1c,61,prespecified deterministic rank; case_id ascending tie break,frozen v8,canonical refinement recomputed for visualization only,clean target,smallest_target__PatientID_0032_T1_to_T2_t1c.png,smallest_target__PatientID_0032_T1_to_T2_t1c.svg
most_fragmented_target,PatientID_0005_T3_to_T4_t1c,67,prespecified deterministic rank; case_id ascending tie break,frozen v8,canonical refinement recomputed for visualization only,clean target,most_fragmented_target__PatientID_0005_T3_to_T4_t1c.png,most_fragmented_target__PatientID_0005_T3_to_T4_t1c.svg
worst_imperfect_retention,PatientID_0039_T1_to_T2_t1c,33,prespecified deterministic rank; case_id ascending tie break,frozen v8,canonical refinement recomputed for visualization only,PARTIAL_25: worst saved repeat deterministic,worst_imperfect_retention__PatientID_0039_T1_to_T2_t1c.png,worst_imperfect_retention__PatientID_0039_T1_to_T2_t1c.svg
