case_id,condition,method,repeats,mean_dice,worst_dice,best_dice,mean_iou,worst_iou,best_iou
PatientID_0003_T1_to_T2_t1c,FP_25,EIA_BLEND_075,5,0.6746759842425816,0.6746434810938398,0.6747247389656944,0.5090649360334294,0.5090279268106732,0.5091204512857807
PatientID_0003_T1_to_T2_t1c,FP_25,EIA_LINEAR,5,0.43183683420485436,0.4318043310561125,0.4318449599920398,0.27537748867823214,0.2753510544775545,0.2753840972284015
PatientID_0003_T1_to_T2_t1c,FP_25,PCC,5,0.6047860886603668,0.6046804534269556,0.6049242270425197,0.4334719512369989,0.4333634219656593,0.433613885912176
PatientID_0003_T1_to_T2_t1c,MIXED,EIA_BLEND_075,30,0.5970042931324163,0.5699427132090776,0.6203225937589826,0.42567813356105294,0.3985453719132182,0.4496142293583363
PatientID_0003_T1_to_T2_t1c,MIXED,EIA_LINEAR,30,0.4210701661841086,0.4199813107012558,0.4224190468568963,0.2666810925891912,0.2658078119965592,0.2677637848188786
PatientID_0003_T1_to_T2_t1c,MIXED,PCC,30,0.5240834789300217,0.5128996871670886,0.5352862308630544,0.35511933680251134,0.3448991858547375,0.3654544950385439
PatientID_0003_T1_to_T2_t1c,PARTIAL_25,EIA_BLEND_075,1,0.5961077479462864,0.5961077479462864,0.5961077479462864,0.4246107541985122,0.4246107541985122,0.4246107541985122
PatientID_0003_T1_to_T2_t1c,PARTIAL_25,EIA_LINEAR,1,0.4183967822000894,0.4183967822000894,0.4183967822000894,0.2645396629864226,0.2645396629864226,0.2645396629864226
PatientID_0003_T1_to_T2_t1c,PARTIAL_25,PCC,1,0.5078210701761707,0.5078210701761707,0.5078210701761707,0.340321834090987,0.340321834090987,0.340321834090987
PatientID_0003_T1_to_T2_t1c,PARTIAL_50,EIA_BLEND_075,1,0.6443749238279695,0.6443749238279695,0.6443749238279695,0.4753341725266638,0.4753341725266638,0.4753341725266638
PatientID_0003_T1_to_T2_t1c,PARTIAL_50,EIA_LINEAR,1,0.4240442042939901,0.4240442042939901,0.4240442042939901,0.269071128431538,0.269071128431538,0.269071128431538
PatientID_0003_T1_to_T2_t1c,PARTIAL_50,PCC,1,0.5532442205429399,0.5532442205429399,0.5532442205429399,0.38240332501945,0.38240332501945,0.38240332501945
PatientID_0003_T1_to_T2_t1c,SHIFT_3,EIA_BLEND_075,6,0.6437722612783806,0.5999268679234566,0.669930524526268,0.4750849560970876,0.428496807909794,0.5036808504290655
PatientID_0003_T1_to_T2_t1c,SHIFT_3,EIA_LINEAR,6,0.42748412086917176,0.4259943932185025,0.4299354000034547,0.2718481965842206,0.2706435043165989,0.2738329365678027
PatientID_0003_T1_to_T2_t1c,SHIFT_3,PCC,6,0.5704844323547755,0.5596229634835326,0.5854629667333225,0.39911926605199016,0.388525330040942,0.413890165458011
PatientID_0005_T3_to_T4_t1c,FP_25,EIA_BLEND_075,5,0.5746004778451128,0.5745686222571126,0.5746748075504466,0.4031153867430663,0.4030840286277158,0.4031885569767121
