method,effective_method_provenance_hash,execution_commit
Fixed,1ce4cc7063e01bf7896fcc87d293d33d187674a1b44868f4216da54e414f8597,82730934288f233e80b9367b778c86f943d18fa4
Naive,55571640a310a07ad9308efdca53e052351467d1c3f7fa58b36754d53d564135,82730934288f233e80b9367b778c86f943d18fa4
EIA-linear,996d63d2f7ef590801341ec3f945cb2ce0e40c70c4ebdd2b479db41f7da6d3ae,82730934288f233e80b9367b778c86f943d18fa4
EIA-blend-0.90,996d63d2f7ef590801341ec3f945cb2ce0e40c70c4ebdd2b479db41f7da6d3ae,82730934288f233e80b9367b778c86f943d18fa4
EIA-blend-0.75,996d63d2f7ef590801341ec3f945cb2ce0e40c70c4ebdd2b479db41f7da6d3ae,82730934288f233e80b9367b778c86f943d18fa4
EIA-morph,996d63d2f7ef590801341ec3f945cb2ce0e40c70c4ebdd2b479db41f7da6d3ae,82730934288f233e80b9367b778c86f943d18fa4
Full PCC,1ce4cc7063e01bf7896fcc87d293d33d187674a1b44868f4216da54e414f8597,82730934288f233e80b9367b778c86f943d18fa4
No-smoothing PCC,a98cff9de3cd973fac6fd4129a2a0437abb1490f192afe845d096994cd98b126,82730934288f233e80b9367b778c86f943d18fa4
