comparison,endpoint,holm_family,holm_adjusted_p,n,mean_difference,median_difference,wilcoxon_p_two_sided,wilcoxon_status,rank_biserial,cohens_dz,cohens_dz_status,bootstrap_low,bootstrap_high,wins,ties,losses
Full PCC vs Fixed,Dice_0.5,exactly_two,5.606417277984712e-20,113,0.20471099292311104,0.21172012491758974,2.803208638992356e-20,AVAILABLE,1.0,2.7464126013186316,AVAILABLE,0.19096274516534176,0.21809736940125662,113,0,0
No-smoothing PCC vs Full PCC,Dice_0.5,exactly_two,5.606417277984712e-20,113,0.19280821894225278,0.1888692372008789,2.803208638992356e-20,AVAILABLE,1.0,1.7969451138450405,AVAILABLE,0.17365072852238414,0.2130463259870739,113,0,0
