method,primary_source_file,supporting_source_files,source_file_sha256,execution_wrapper_sha256,effective_method_provenance_hash,git_commit,verification_status
Fixed,src/models/pcc.py,,123122d313885dc1d5736a3ef0c2b739b84988a4c4e9f17137f25ef724a13dc4,251ce0236e8902bac4c132126dbfd3a33903803145dba1a0ed2f22af4bbc81f2,1ce4cc7063e01bf7896fcc87d293d33d187674a1b44868f4216da54e414f8597,82730934288f233e80b9367b778c86f943d18fa4,PASS
Naive,src/models/naive_self_tightening.py,,131759341c8cebad65044361f13f5ed778994c76eee669c99a818025b0a8c634,251ce0236e8902bac4c132126dbfd3a33903803145dba1a0ed2f22af4bbc81f2,55571640a310a07ad9308efdca53e052351467d1c3f7fa58b36754d53d564135,82730934288f233e80b9367b778c86f943d18fa4,PASS
EIA-linear,src/models/eia.py,,2136540541c6d42e78a879ce83728886e644dfd3ace819d36766c1d7e5018dbd,251ce0236e8902bac4c132126dbfd3a33903803145dba1a0ed2f22af4bbc81f2,996d63d2f7ef590801341ec3f945cb2ce0e40c70c4ebdd2b479db41f7da6d3ae,82730934288f233e80b9367b778c86f943d18fa4,PASS
EIA-blend-0.90,src/models/eia.py,,2136540541c6d42e78a879ce83728886e644dfd3ace819d36766c1d7e5018dbd,251ce0236e8902bac4c132126dbfd3a33903803145dba1a0ed2f22af4bbc81f2,996d63d2f7ef590801341ec3f945cb2ce0e40c70c4ebdd2b479db41f7da6d3ae,82730934288f233e80b9367b778c86f943d18fa4,PASS
EIA-blend-0.75,src/models/eia.py,,2136540541c6d42e78a879ce83728886e644dfd3ace819d36766c1d7e5018dbd,251ce0236e8902bac4c132126dbfd3a33903803145dba1a0ed2f22af4bbc81f2,996d63d2f7ef590801341ec3f945cb2ce0e40c70c4ebdd2b479db41f7da6d3ae,82730934288f233e80b9367b778c86f943d18fa4,PASS
EIA-morph,src/models/eia.py,,2136540541c6d42e78a879ce83728886e644dfd3ace819d36766c1d7e5018dbd,251ce0236e8902bac4c132126dbfd3a33903803145dba1a0ed2f22af4bbc81f2,996d63d2f7ef590801341ec3f945cb2ce0e40c70c4ebdd2b479db41f7da6d3ae,82730934288f233e80b9367b778c86f943d18fa4,PASS
Full PCC,src/models/pcc.py,,123122d313885dc1d5736a3ef0c2b739b84988a4c4e9f17137f25ef724a13dc4,251ce0236e8902bac4c132126dbfd3a33903803145dba1a0ed2f22af4bbc81f2,1ce4cc7063e01bf7896fcc87d293d33d187674a1b44868f4216da54e414f8597,82730934288f233e80b9367b778c86f943d18fa4,PASS
No-smoothing PCC,src/analysis/internal_completion.py,src/models/pcc.py,d72550e520742f4fd2a3fe63f61d29804bdd17c303016b7e3a48452ae6cd62f9;123122d313885dc1d5736a3ef0c2b739b84988a4c4e9f17137f25ef724a13dc4,251ce0236e8902bac4c132126dbfd3a33903803145dba1a0ed2f22af4bbc81f2,a98cff9de3cd973fac6fd4129a2a0437abb1490f192afe845d096994cd98b126,82730934288f233e80b9367b778c86f943d18fa4,PASS
