relative_path,file_name,file_type,size_bytes,sha256,category,large_artifact,source
01_mechanism_ablation/cases/PatientID_0019_T4_to_T5_t1c/metrics.csv,metrics.csv,.csv,3688,2e9d2e26648c29f86ddb0289079ecd8b9375d408a308540d59a2a8431c0ca97f,01_mechanism_ablation,False,local_or_small_kaggle_output
01_mechanism_ablation/cases/PatientID_0020_T1_to_T2_t1c/COMPLETE.json,COMPLETE.json,.json,146,b4cd2b33fa31fefa123c586feefcc334147731c85ebda8295ad56fd05d56d51d,01_mechanism_ablation,False,local_or_small_kaggle_output
01_mechanism_ablation/cases/PatientID_0020_T1_to_T2_t1c/metrics.csv,metrics.csv,.csv,3708,ee991570c5041088fc17416f4726c67fde322be07510611321cff5128a983645,01_mechanism_ablation,False,local_or_small_kaggle_output
01_mechanism_ablation/cases/PatientID_0021_T2_to_T3_t1c/COMPLETE.json,COMPLETE.json,.json,146,d0f6850166154f1a935c0e207e56f047de039f7f3bb0ce02b72010b12da34566,01_mechanism_ablation,False,local_or_small_kaggle_output
01_mechanism_ablation/cases/PatientID_0021_T2_to_T3_t1c/metrics.csv,metrics.csv,.csv,3700,2ffde2c62601e0350443bee49a5d84c0bb55bdfda02de2d2abd0916409bbe284,01_mechanism_ablation,False,local_or_small_kaggle_output
01_mechanism_ablation/cases/PatientID_0022_T1_to_T2_t1c/COMPLETE.json,COMPLETE.json,.json,146,14d08500cbb91634093e75e38111caff3d9c931b3c2bdefcbbe00d0ae6f9d39a,01_mechanism_ablation,False,local_or_small_kaggle_output
01_mechanism_ablation/cases/PatientID_0022_T1_to_T2_t1c/metrics.csv,metrics.csv,.csv,3635,fea531a20a841d02643a840b0204855ef0d94e4910a9c985ae08219701666004,01_mechanism_ablation,False,local_or_small_kaggle_output
01_mechanism_ablation/cases/PatientID_0024_T2_to_T3_t1c/COMPLETE.json,COMPLETE.json,.json,146,1687f71e9223e864de35668c4700117a67b4ba5fba53f5f48a0709c17029afd1,01_mechanism_ablation,False,local_or_small_kaggle_output
01_mechanism_ablation/cases/PatientID_0024_T2_to_T3_t1c/metrics.csv,metrics.csv,.csv,3645,2723a5ec1aebc9181aea88425de5635984d048da6683653b8b56423359d15278,01_mechanism_ablation,False,local_or_small_kaggle_output
01_mechanism_ablation/cases/PatientID_0025_T1_to_T2_t1c/COMPLETE.json,COMPLETE.json,.json,146,b73d2e89e3c51c2c09a491e847ad750481e63e004a8f6792852f382c9ea19f14,01_mechanism_ablation,False,local_or_small_kaggle_output
01_mechanism_ablation/cases/PatientID_0025_T1_to_T2_t1c/metrics.csv,metrics.csv,.csv,3636,dc342f9e084821d98f828f879c3b900f4df907d764d6216aa91bbf68405d0190,01_mechanism_ablation,False,local_or_small_kaggle_output
