item_number,registry_objects,pdf_object_count,first_page,main_references,supplement_references,status
Table S1,1,1,2,0,2,PASS
Table S2,1,1,5,0,2,PASS
Table S3,1,1,21,0,1,PASS
Table S4,1,1,26,0,1,PASS
Table S5,1,1,31,0,2,PASS
Table S6,1,1,38,0,2,PASS
Table S7,1,1,39,0,2,PASS
Table S8,1,1,46,0,1,PASS
Table S9,1,1,48,0,1,PASS
Table S10,1,1,51,0,2,PASS
