case_id,fold,baseline_threshold,pcc_threshold,baseline_train_dice,pcc_train_dice,baseline_dice,pcc_dice,dice_gain,baseline_iou,pcc_iou,iou_gain,baseline_dice_fixed05,pcc_dice_fixed05,dice_gain_fixed05,baseline_iou_fixed05,pcc_iou_fixed05,iou_gain_fixed05,target_voxels
PatientID_0008_T4_to_T6_t1c,1,0.9000000000000002,0.9000000000000002,0.7245848549169419,0.72042240365509,0.6229021341253109,0.6939383277625786,0.07103619363726765,0.4523296052962082,0.5313212557365828,0.07899165044037465,0.675085366228829,0.6753141237600532,0.00022875753122419962,0.5095312173489432,0.5097918954770778,0.0002606781281345727,87128
PatientID_0020_T1_to_T2_t1c,1,0.9000000000000002,0.9000000000000002,0.7245848549169419,0.72042240365509,0.7270573381446565,0.7148448179110695,-0.012212520233586988,0.5711626767893747,0.55623229620346,-0.014930380585914671,0.610683301386125,0.5817321873569861,-0.02895111402913897,0.4395565834596507,0.4101709015541491,-0.029385681905501615,61040
PatientID_0024_T2_to_T3_t1c,1,0.9000000000000002,0.9000000000000002,0.7245848549169419,0.72042240365509,0.5141443084136915,0.5545029147724446,0.0403586063587531,0.3460257354230981,0.38360707914204484,0.037581343718946725,0.4988953710039067,0.4219037627156645,-0.0769916082882422,0.33235216344485735,0.26734983123825523,-0.06500233220660212,59953
PatientID_0025_T1_to_T2_t1c,1,0.9000000000000002,0.9000000000000002,0.7245848549169419,0.72042240365509,0.10854089513826302,0.1137405102929106,0.005199615154647577,0.0573847432700421,0.060299503283390926,0.0029147600133488244,0.13027814980110314,0.13495097165270872,0.004672821851605585,0.06967782388982278,0.07235786813191901,0.0026800442420962245,101519
PatientID_0030_T1_to_T3_t1c,1,0.9000000000000002,0.9000000000000002,0.7245848549169419,0.72042240365509,0.31508317672453334,0.3419879637590977,0.026904787034564337,0.18700221421739205,0.20626386074649294,0.019261646529100895,0.45219027613677165,0.44699890142819865,-0.005191374708573004,0.2921484916170528,0.28782909544580937,-0.004319396171243439,58011
PatientID_0037_T1_to_T2_t1c,1,0.9000000000000002,0.9000000000000002,0.7245848549169419,0.72042240365509,0.31842059938002515,0.3629842060818405,0.04456360670181536,0.18935805187832058,0.22173531094230392,0.03237725906398334,0.3331137602378773,0.30238327430754575,-0.030730485930331564,0.19984192819628882,0.1781222284931479,-0.021719699703140916,60937
PatientID_0038_T1_to_T2_t1c,1,0.9000000000000002,0.9000000000000002,0.7245848549169419,0.72042240365509,0.5175496728640054,0.6077869610652142,0.0902372882012088,0.3491177163850878,0.4365617502981255,0.08744403391303768,0.5551938676397432,0.5679351957598775,0.012741328120134288,0.38426876464927323,0.3965848431428037,0.012316078493530447,101395
PatientID_0059_T1_to_T2_t1c,1,0.9000000000000002,0.9000000000000002,0.7245848549169419,0.72042240365509,0.5473819905213613,0.594334888710752,0.046952898189390746,0.37682445553450783,0.4228140002462416,0.045989544711733776,0.5083251949601656,0.47402478931414127,-0.03430040564602432,0.34077480778166175,0.31063728034029775,-0.030137527441363998,66124
PatientID_0011_T1_to_T2_t1c,2,0.9000000000000002,0.9000000000000002,0.52741364726232,0.6672607239591145,0.6012544733905476,0.7253215992670111,0.12406712587646351,0.4298526515026591,0.569023213110014,0.13917056160735491,0.47330564081429594,0.6308036328710658,0.15749799205676984,0.3100199054031688,0.4607108578543814,0.15069095245121256,231467
PatientID_0013_T1_to_T2_t1c,2,0.9000000000000002,0.9000000000000002,0.52741364726232,0.6672607239591145,0.4529146902314263,0.5802043829430391,0.12728969271161283,0.29275353296400947,0.40865345404134945,0.11589992107733998,0.2725905691227986,0.4297935135975107,0.15720294447471211,0.15780310345092952,0.27371783094735125,0.11591472749642173,43633
PatientID_0014_T1_to_T2_t1c,2,0.9000000000000002,0.9000000000000002,0.52741364726232,0.6672607239591145,0.42436223721248173,0.6956645779204393,0.2713023407079576,0.2693272827262961,0.5333479150718254,0.26402063234552936,0.24200882352942293,0.478090726376586,0.23608190284716307,0.13766213776755323,0.3141387825559088,0.1764766447883556,86804
PatientID_0021_T2_to_T3_t1c,2,0.9000000000000002,0.9000000000000002,0.52741364726232,0.6672607239591145,0.615662783359564,0.7034446463867805,0.08778186302721647,0.4447346903334048,0.5425488733870562,0.09781418305365136,0.36241621772705856,0.550507327588077,0.1880911098610184,0.22131155770488373,0.37979310835153923,0.1584815506466555,68417
PatientID_0036_T1_to_T2_t1c,2,0.9000000000000002,0.9000000000000002,0.52741364726232,0.6672607239591145,0.4913129340759427,0.5965823336724654,0.1052693995965227,0.3256559595246698,0.4250925066616974,0.0994365471370276,0.3292449367292484,0.44937903572381555,0.12013409899456712,0.19706355764962508,0.28980585589695956,0.09274229824733449,136331
PatientID_0045_T1_to_T2_t1c,2,0.9000000000000002,0.9000000000000002,0.52741364726232,0.6672607239591145,0.34214915848944677,0.564420610119677,0.22227145163023027,0.2063811471590129,0.3931657239567771,0.18678457679776422,0.1995405893688031,0.3463395648622457,0.14679897549344262,0.11082759666260382,0.20943813947718262,0.0986105428145788,47734
PatientID_0053_T1_to_T3_t1c,2,0.9000000000000002,0.9000000000000002,0.52741364726232,0.6672607239591145,0.1649479181320396,0.18876384764690532,0.02381592951486572,0.0898873224154779,0.10421824200102126,0.014330919585543361,0.12985522233713637,0.1526796443571326,0.022824422019996238,0.06943591955454359,0.08264925132815726,0.013213331773613668,56865
PatientID_0062_T1_to_T2_t1c,2,0.9000000000000002,0.9000000000000002,0.52741364726232,0.6672607239591145,0.4303233986479484,0.5479448217912016,0.11762142314325325,0.2741478074383601,0.3773581266155055,0.1032103191771454,0.2918389466500824,0.3904757817026941,0.09863683505261167,0.17084978379395735,0.24260323470981054,0.0717534509158532,129746
PatientID_0003_T1_to_T2_t1c,3,0.8000000000000002,0.9000000000000002,0.6595911836463108,0.7081791027082435,0.27542035595415576,0.33340364669083045,0.057983290736674686,0.15970289160322484,0.20005062775329466,0.04034773615006981,0.24685420435539274,0.2438738410915395,-0.0029803632638532307,0.14080643205412652,0.1388703424605527,-0.001936089593573831,84540
PatientID_0005_T3_to_T4_t1c,3,0.8000000000000002,0.9000000000000002,0.6595911836463108,0.7081791027082435,0.5115018187597794,0.5334996266344796,0.02199780787470018,0.34363617316187406,0.363790992708819,0.020154819546944924,0.4481532679955084,0.4296693529964094,-0.018483914999099016,0.2887870681769274,0.27361712249346365,-0.015169945683463748,139453
PatientID_0010_T1_to_T4_t1c,3,0.8000000000000002,0.9000000000000002,0.6595911836463108,0.7081791027082435,0.7568962755068812,0.7779237629128475,0.021027487405966272,0.6088762028410145,0.6365591108841597,0.027682908043145216,0.7183430142178293,0.6898264733435964,-0.028516540874232943,0.5604799273024281,0.5265153503017737,-0.03396457700065447,166963
PatientID_0019_T4_to_T5_t1c,3,0.8000000000000002,0.9000000000000002,0.6595911836463108,0.7081791027082435,0.026058473856841912,0.0030073774730973624,-0.02305109638374455,0.01320123899921009,0.0015059532215630134,-0.011695285777647077,0.05922926026723634,0.04605392639261311,-0.013175333874623232,0.030518421910872617,0.023569701853522897,-0.006948720057349721,39143
PatientID_0026_T1_to_T2_t1c,3,0.8000000000000002,0.9000000000000002,0.6595911836463108,0.7081791027082435,0.6979149616609893,0.6922088412395453,-0.0057061204214440275,0.5359979886961076,0.5292961621606666,-0.006701826535441047,0.6199280827074483,0.5800229208953054,-0.039905161812142875,0.44919983874727887,0.4084734390649653,-0.04072639968231356,137089
PatientID_0035_T1_to_T2_t1c,3,0.8000000000000002,0.9000000000000002,0.6595911836463108,0.7081791027082435,0.7055442620981476,0.7681469021419315,0.06260264004378391,0.5450508977941254,0.6235702158622545,0.07851931806812906,0.699379753204877,0.7252408001975862,0.02586104699270919,0.5377278686290181,0.5689237624721657,0.031195893843147582,174956
