case_id,fold,baseline_threshold,pcc_threshold,baseline_train_dice,pcc_train_dice,baseline_dice,pcc_dice,dice_gain,baseline_iou,pcc_iou,iou_gain,baseline_dice_fixed05,pcc_dice_fixed05,dice_gain_fixed05,baseline_iou_fixed05,pcc_iou_fixed05,iou_gain_fixed05,target_voxels
PatientID_0008_T4_to_T6_t1c,1,0.9000000000000002,0.9000000000000002,0.6918569091131848,0.7137435469428376,0.6400254266628277,0.7273225204279111,0.08729709376508343,0.4706157300370197,0.5714900531378005,0.10087432310078087,0.5702391447875779,0.6732859975919119,0.10304685280433401,0.39883533159318457,0.5074839011044338,0.10864856951124918,87128
PatientID_0020_T1_to_T2_t1c,1,0.9000000000000002,0.9000000000000002,0.6918569091131848,0.7137435469428376,0.688057938459771,0.7091150988091177,0.021057160349346682,0.5244575645756926,0.5493248066926538,0.02486724211696123,0.5270859051630452,0.5984895024030851,0.07140359724003986,0.35785244163979596,0.42703176567660983,0.06917932403681387,61040
PatientID_0024_T2_to_T3_t1c,1,0.9000000000000002,0.9000000000000002,0.6918569091131848,0.7137435469428376,0.4514519079510624,0.47440436229457683,0.02295245434351445,0.2915323781476925,0.3109633710071035,0.019430992859410967,0.3354456850990692,0.38257443606905017,0.04712875096998098,0.2015228233144553,0.23653294754367424,0.035010124229218925,59953
PatientID_0025_T1_to_T2_t1c,1,0.9000000000000002,0.9000000000000002,0.6918569091131848,0.7137435469428376,0.09840125726264824,0.11800583348202327,0.01960457621937503,0.05174659356421852,0.06270255008301333,0.010955956518794809,0.12308705300582116,0.13600816413264452,0.012921111126823356,0.0655795215238674,0.07296607287411495,0.007386551350247558,101519
PatientID_0030_T1_to_T3_t1c,1,0.9000000000000002,0.9000000000000002,0.6918569091131848,0.7137435469428376,0.5325296316689819,0.5268522566131583,-0.0056773750558236635,0.3628895296023589,0.35763707949751644,-0.005252450104842432,0.47545699652982726,0.536150566431479,0.0606935699016517,0.311868537291263,0.3662607329256001,0.05439219563433706,58011
PatientID_0037_T1_to_T2_t1c,1,0.9000000000000002,0.9000000000000002,0.6918569091131848,0.7137435469428376,0.3678514113681146,0.36584753963232663,-0.0020038717357879765,0.22537862908456555,0.2238760143285895,-0.001502614755976045,0.2756447569093527,0.3017320694355102,0.02608731252615748,0.15985381087445083,0.17767047472612194,0.017816663851671105,60937
PatientID_0038_T1_to_T2_t1c,1,0.9000000000000002,0.9000000000000002,0.6918569091131848,0.7137435469428376,0.5364381817448391,0.6207073840971713,0.08426920235233215,0.3665292268859556,0.450018637771729,0.08348941088577344,0.4572720035540982,0.5678864309834069,0.11061442742930866,0.29640481316704625,0.39653728815193406,0.10013247498488781,101395
PatientID_0059_T1_to_T2_t1c,1,0.9000000000000002,0.9000000000000002,0.6918569091131848,0.7137435469428376,0.5020192846515283,0.5557988348316121,0.053779550180083735,0.33513067258330953,0.38484862651861795,0.04971795393530842,0.3632317771872254,0.4396595926506395,0.0764278154634141,0.22192010580645175,0.28177158687926307,0.059851481072811324,66124
PatientID_0011_T1_to_T2_t1c,2,0.9000000000000002,0.9000000000000002,0.4827979394490035,0.6962127728305886,0.52175519450846,0.7096862383448873,0.18793104383642734,0.35295587887080443,0.5500105938842088,0.19705471501340438,0.4256579731708186,0.5825116205373847,0.1568536473665661,0.2703719813845827,0.4109463110789162,0.14057432969433353,231467
PatientID_0013_T1_to_T2_t1c,2,0.9000000000000002,0.9000000000000002,0.4827979394490035,0.6962127728305886,0.5279989419389282,0.6627424886113873,0.13474354667245914,0.3586946755557729,0.4955982546123409,0.13690357905656803,0.37266777159160847,0.5625688286095488,0.18990105701794036,0.2290053408185307,0.3913709677419968,0.16236562692346612,43633
PatientID_0014_T1_to_T2_t1c,2,0.9000000000000002,0.9000000000000002,0.4827979394490035,0.6962127728305886,0.30732792271161385,0.5870287721963932,0.2797008494847793,0.18156376940060434,0.41545698924735314,0.2338932198467488,0.2075177893602784,0.3811713373851619,0.1736535480248835,0.11577118485668444,0.2354611986975131,0.11969001384082867,86804
PatientID_0021_T2_to_T3_t1c,2,0.9000000000000002,0.9000000000000002,0.4827979394490035,0.6962127728305886,0.5692466042972609,0.7218582413438422,0.15261163704658132,0.39786493326314515,0.5647716588986452,0.16690672563550008,0.3827101135924717,0.5954321831716733,0.21272206957920164,0.23663668264358273,0.4239255492242833,0.1872888665807006,68417
PatientID_0036_T1_to_T2_t1c,2,0.9000000000000002,0.9000000000000002,0.4827979394490035,0.6962127728305886,0.3682580174927207,0.49312647331991677,0.12486845582719608,0.22568397543273308,0.32725140138759923,0.10156742595486615,0.28120022732059846,0.3822914109366927,0.10109118361609426,0.1636026672741817,0.23631661074264323,0.07271394346846152,136331
PatientID_0045_T1_to_T2_t1c,2,0.9000000000000002,0.9000000000000002,0.4827979394490035,0.6962127728305886,0.30600069557775733,0.5801360074129082,0.27413531183515083,0.18063802905878615,0.40858561837032437,0.22794758931153822,0.20579744778475348,0.3639945432679648,0.15819709548321134,0.11470134602733836,0.22248981002489354,0.10778846399755518,47734
PatientID_0053_T1_to_T3_t1c,2,0.9000000000000002,0.9000000000000002,0.4827979394490035,0.6962127728305886,0.19962469071986688,0.1981966850154145,-0.0014280057044523953,0.1108794870107996,0.10999906780454784,-0.0008804192062517591,0.14750007279430477,0.18724026531177643,0.039740192517471656,0.07962217467765798,0.10329017228750514,0.02366799760984717,56865
PatientID_0062_T1_to_T2_t1c,2,0.9000000000000002,0.9000000000000002,0.4827979394490035,0.6962127728305886,0.3078807257016218,0.469405695342047,0.16152496964042523,0.18194977764158587,0.3066819822297454,0.12473220458815953,0.23987170752282208,0.3319594852191202,0.09208777769629814,0.13628080893196612,0.19901164406833247,0.06273083513636635,129746
PatientID_0003_T1_to_T2_t1c,3,0.9000000000000002,0.9000000000000002,0.5957124206199528,0.7438277017766252,0.2671901586662548,0.3794256075892651,0.1122354489230103,0.15419473752562193,0.23413032401731484,0.07993558649169291,0.18988122250065123,0.2816839811561204,0.09180275865546919,0.10489986892627026,0.1639302538456573,0.05903038491938703,84540
PatientID_0005_T3_to_T4_t1c,3,0.9000000000000002,0.9000000000000002,0.5957124206199528,0.7438277017766252,0.46655755009334876,0.5871144917985983,0.12055694170524955,0.30425501141028466,0.4155428648610109,0.11128785345072623,0.33924696806793736,0.5001208516147108,0.1608738835467734,0.20427297830868896,0.33344076564644204,0.12916778733775308,139453
PatientID_0010_T1_to_T4_t1c,3,0.9000000000000002,0.9000000000000002,0.5957124206199528,0.7438277017766252,0.674163273324768,0.8305427243434094,0.15637945101864137,0.50848136860363,0.7101950123634146,0.20171364375978462,0.5226013055795126,0.7323306390186844,0.20972933343917188,0.3537307211338199,0.5776984610969769,0.22396773996315694,166963
PatientID_0019_T4_to_T5_t1c,3,0.9000000000000002,0.9000000000000002,0.5957124206199528,0.7438277017766252,0.18016339679036114,0.04523336303222415,-0.134930033758137,0.0989997654034956,0.023140032256030868,-0.07585973314746473,0.15665736457819693,0.17194198293465934,0.015284618356462415,0.08498548320203832,0.09405718053238221,0.009071697330343895,39143
PatientID_0026_T1_to_T2_t1c,3,0.9000000000000002,0.9000000000000002,0.5957124206199528,0.7438277017766252,0.6309991854398088,0.7172631302291028,0.086263944789294,0.4609195105866601,0.5591662227321977,0.09824671214553765,0.46716319245516785,0.5947338005430488,0.12757060808788095,0.30477033833982786,0.4232178933592013,0.11844755501937343,137089
PatientID_0035_T1_to_T2_t1c,3,0.9000000000000002,0.9000000000000002,0.5957124206199528,0.7438277017766252,0.7565346594699558,0.800243975024978,0.04370931555502222,0.6084083205306571,0.6670055897753447,0.058597269244687666,0.6280235535365437,0.7744545728827196,0.14643101934617586,0.45775097317115776,0.6319264514775234,0.1741754783063656,174956
PatientID_0041_T1_to_T2_t1c,3,0.9000000000000002,0.9000000000000002,0.5957124206199528,0.7438277017766252,0.04864184205826636,0.018200549452235232,-0.03044129260603113,0.02492717283121615,0.009183850287629209,-0.01574332254358694,0.031172489818514542,0.06693285699324002,0.03576036717472547,0.015833022272094082,0.03462521063269303,0.01879218836059895,3985
PatientID_0052_T1_to_T2_t1c,3,0.9000000000000002,0.9000000000000002,0.5957124206199528,0.7438277017766252,0.6337925887750819,0.7432189096479397,0.10942632087285775,0.46390656613906983,0.5913670370706798,0.12746047093161,0.5160221202849539,0.6784236854087988,0.16240156512384496,0.34772898392801915,0.5133443130892286,0.1656153291612094,124440
PatientID_0006_T2_to_T4_t1c,4,0.9000000000000002,0.9000000000000002,0.7004476475171897,0.7582695357344355,0.7645911045548436,0.8285407079265457,0.06394960337170208,0.6188971986310244,0.7072723000558195,0.0883751014247951,0.7583702089105464,0.7781000831580547,0.019729874247508272,0.6107860928861361,0.6367952664806605,0.026009173594524482,165771
PatientID_0007_T2_to_T3_t1c,4,0.9000000000000002,0.9000000000000002,0.7004476475171897,0.7582695357344355,0.16853470437032247,0.15074164082809843,-0.01779306354222404,0.09202178429077686,0.08151464617186023,-0.010507138118916626,0.2866237814179605,0.2457546119906195,-0.040869169427341034,0.1672859575787015,0.14009135419167365,-0.027194603387027838,48582
PatientID_0032_T1_to_T2_t1c,4,0.9000000000000002,0.9000000000000002,0.7004476475171897,0.7582695357344355,0.531425119962496,0.6179840745776449,0.08655895461514895,0.361864503598912,0.4471613265880903,0.08529682298917834,0.550041913127717,0.6214012080190343,0.07135929489131732,0.379350215780575,0.4507484060146185,0.07139819023404353,37084
PatientID_0034_T1_to_T2_t1c,4,0.9000000000000002,0.9000000000000002,0.7004476475171897,0.7582695357344355,0.29476120056966154,0.35099112754646267,0.056229926976801126,0.17285625958557113,0.21284975078653115,0.03999349120096002,0.2276698350573443,0.25804218496487796,0.030372349907533652,0.12845791352016442,0.14813342937338128,0.019675515853216863,31646
PatientID_0044_T1_to_T2_t1c,4,0.9000000000000002,0.9000000000000002,0.7004476475171897,0.7582695357344355,0.0063559322035283295,0.0181152837975892,0.01175935159406087,0.0031880977684709453,0.009140432664736114,0.005952334896265168,0.0363103292738922,0.04228691637111206,0.005976587097219856,0.018490869415515365,0.021600160271092794,0.003109290855577429,64268
PatientID_0051_T1_to_T3_t1c,4,0.9000000000000002,0.9000000000000002,0.7004476475171897,0.7582695357344355,0.502032244953292,0.5790967741935736,0.07706452924028162,0.33514222403117305,0.4075553941155604,0.07241317008438736,0.5453781970878799,0.5889033237479582,0.04352512666007824,0.37492783072278935,0.4173373331954472,0.042409502472657845,92637
PatientID_0054_T1_to_T2_t1c,4,0.9000000000000002,0.9000000000000002,0.7004476475171897,0.7582695357344355,0.5538158958750877,0.5921584447810655,0.03834254890597777,0.3829497878558328,0.42061440975792225,0.03766462190208947,0.5659742045985504,0.5779154084124293,0.011941203813878865,0.39467505146246545,0.4063860981485502,0.011711046686084747,135057
PatientID_0055_T1_to_T4_t1c,4,0.9000000000000002,0.9000000000000002,0.7004476475171897,0.7582695357344355,0.6796867617517786,0.6984135435829663,0.0187267818311877,0.5147920524174967,0.5365863636177879,0.021794311200291183,0.5841612722912516,0.5841822918275603,2.1019536308730657e-05,0.41259026247757247,0.41261123409852274,2.097162095027194e-05,148668
PatientID_0012_T2_to_T3_t1c,5,0.9000000000000002,0.9000000000000002,0.7050405644124457,0.6882411070313417,0.7941666826361115,0.7778530359898388,-0.01631364664627266,0.6586040302587357,0.6364644014967891,-0.02213962876194664,0.7616917589726124,0.7253999259438083,-0.03629183302880412,0.6151067510789283,0.5691196326667051,-0.04598711841222325,257791
PatientID_0018_T1_to_T2_t1c,5,0.9000000000000002,0.9000000000000002,0.7050405644124457,0.6882411070313417,0.6412300683371699,0.5659074408631565,-0.07532262747401341,0.4719195305952251,0.3946101227969678,-0.07730940779825735,0.5264937812540449,0.42164933266554183,-0.10484444858850306,0.3573067928428392,0.26714553450765954,-0.09016125833517968,37035
PatientID_0022_T1_to_T2_t1c,5,0.9000000000000002,0.9000000000000002,0.7050405644124457,0.6882411070313417,0.5813576640005276,0.6514102610882163,0.07005259708768874,0.40979861466700745,0.48303071148522553,0.07323209681821807,0.6051406481853103,0.6059235930297322,0.0007829448444218734,0.4338363200548141,0.43464159496579846,0.000805274910984366,154238
PatientID_0029_T1_to_T3_t1c,5,0.9000000000000002,0.9000000000000002,0.7050405644124457,0.6882411070313417,0.3382811584009056,0.30979607569624096,-0.028485082704664655,0.20357304131880685,0.18328917075731221,-0.020283870561494638,0.30537173476231677,0.2663194676282226,-0.039052267134094154,0.18019983557845126,0.15361507651238143,-0.02658475906606983,16391
PatientID_0031_T2_to_T3_t1c,5,0.9000000000000002,0.9000000000000002,0.7050405644124457,0.6882411070313417,0.6363478834887517,0.6953467507891129,0.05899886730036119,0.4666497237703108,0.532974375535957,0.06632465176564617,0.6625493982957485,0.6839814763153588,0.021432078019610223,0.4953823322158668,0.5197354474922853,0.02435311527641848,143820
PatientID_0033_T1_to_T2_t1c,5,0.9000000000000002,0.9000000000000002,0.7050405644124457,0.6882411070313417,0.6222457727654085,0.5883648127533418,-0.03388096001206664,0.45163771626701127,0.4167966469445703,-0.034841069322440965,0.5502653064870829,0.4609217545280463,-0.08934355195903665,0.3795627634141441,0.2994790913874149,-0.08008367202672917,55937
PatientID_0039_T1_to_T2_t1c,5,0.9000000000000002,0.9000000000000002,0.7050405644124457,0.6882411070313417,0.27333386670945303,0.3519511450382471,0.07861727832879406,0.1583015161064688,0.2135562571332335,0.0552547410267647,0.33828805740653534,0.36100775320870054,0.022719695802165207,0.20357803824810675,0.22026202620269825,0.0166839879545915,44906
PatientID_0060_T1_to_T2_t1c,5,0.9000000000000002,0.9000000000000002,0.7050405644124457,0.6882411070313417,0.5921324431039826,0.518460982580805,-0.07367146052317763,0.42058817266128234,0.3499475724128855,-0.07064060024839686,0.499573566278149,0.4069125739003515,-0.09266099237779746,0.3329543888659417,0.2554238814731006,-0.07753050739284112,128652
